ID,ParkName,LocationName,ParkType,CAPACITY,Open,Close,CountyName,LONGITUDE,LATITUDE
128,Cirpici Sosyal Tesisler,Cirpici Sosyal Tesisle,Acik Otopark,128,12:00:00 AM,11:59:00 PM,Zeytinburnu,28.89259861,40.99996296
129,Kasimpasa Sosyal Tesisler Otoparki,Kasimpasa Sosyal Tesisler Otopark,Acik Otopark,80,8:00:00 AM,9:00:00 PM,Beyoglu,28.96692971,41.02985384
130,Gozdagi Sosyal Tesisler  Acik Otoparki,Gozdagi Sosyal Tesisler Acik Otopark,Acik Otopark,300,7:00:00 AM,10:00:00 PM,Pendik,29.2531532,40.89075826
131,Fatih Aksemsettin Caddesi 1,Fatih Aksemsettin Caddes,Yol Ustu,30,8:30:00 AM,7:00:00 PM,Fatih,28.94443915,41.02202407
132,Fatih Aksemsettin Caddesi 6,Fatih Aksemsettin Caddes,Yol Ustu,30,8:30:00 AM,7:00:00 PM,Fatih,28.94162536,41.02040399
133,Ressam Halim Sokak Acik Otoparki,Ressam Halim Sokak Acik Otopark,Acik Otopark,120,12:00:00 AM,11:59:00 PM,Bahcelievler,28.86396334,40.99682977
134,Bagcilar Emniyet Mudurlugu Yani Acik Otoparki,Bagcilar Emniyet Mudurlugu Yani Acik Otopark,Acik Otopark,100,8:00:00 AM,6:00:00 PM,Bagcilar,28.8597932,41.03527358
135,Sultanbeyli Kent Meydani Zemin Alti Otoparki,Sultanbeyli Kent Meydani Zemin Alti Otopark,Kapali Otopark,300,12:00:00 AM,11:59:00 PM,Sultanbeyli,29.26664203,40.96684221
136,Merter Metro Zeminalti Otoparki,Merter Metro Zemin Alti Otopark,Kapali Otopark,242,12:00:00 AM,11:59:00 PM,Gungoren,28.88983065,41.00372688
137,Sisli Zemin Alti Otoparki,Sisli Zemin Alti Otopark,Kapali Otopark,581,12:00:00 AM,11:59:00 PM,Sisli,28.99919534,41.06410051
138,Uzuncayir Acik Otoparki,Uzuncayir Acik Otopark,Acik Otopark,85,6:00:00 AM,7:00:00 PM,Kadikoy,29.05735441,40.99899017
139,Pendik Sahil Acik Otoparki,Pendik Sahil Acik Otopark,Acik Otopark,400,12:00:00 AM,11:59:00 PM,Pendik,29.23156898,40.87203278
140,Acibadem Acik Otoparki,Acibadem Acik Otopark,Acik Otopark,100,6:00:00 AM,6:00:00 PM,Uskudar,29.05755444,41.01578678
141,Bebek Acik,Bebek Aci,Acik Otopark,35,12:00:00 AM,11:59:00 PM,Besiktas,29.04344566,41.07696616
142,Atasehir Bulvari 21,Atasehir Bulvar,Yol Ustu,15,8:00:00 AM,6:00:00 PM,Atasehir,29.12712333,40.99170959
143,Levent Carsi 3,Levent Cars,Yol Ustu,23,8:00:00 AM,7:00:00 PM,Besiktas,29.01555259,41.0759294
144,Gencler Caddesi 6,Gencler Caddes,Yol Ustu,35,8:00:00 AM,7:00:00 PM,Bakirkoy,28.87205022,40.98062314
145,İspark Merter Katli Otoparki,İspark Merter Katli Otopark,Kapali Otopark,900,12:00:00 AM,11:59:00 PM,Gungoren,28.8897136,41.00379996
146,Ragip Gumuspala Acik Otoparki,Ragip Gumuspala Acik Otopark,Acik Otopark,300,7:00:00 AM,7:00:00 PM,Fatih,28.96253718,41.02124668
147,Yenikapi Tunel Ustu Acik Otoparki,Yenikapi Tunel Ustu Acik Otopark,Acik Otopark,700,12:00:00 AM,11:59:00 PM,Fatih,28.95406048,41.00244619
148,Pendik Yenisehir Mustafa Akyol Sokak 1,Pendik Yenisehir Mustafa Akyol Soka,Yol Ustu,115,8:00:00 AM,7:00:00 PM,Pendik,29.30838347,40.92652079
149,Hamidiye Mahallesi Katli Otoparki,Hamidiye Mahallesi Katli Otopark,Kapali Otopark,450,12:00:00 AM,11:59:00 PM,Kagithane,28.9709969,41.09490642
150,Kadikoy Metro 2 Acik Otoparki,Kadikoy Metro 2 Acik Otopark,Acik Otopark,100,12:00:00 AM,11:59:00 PM,Kadikoy,29.02072368,40.98882223
151,Semsipasa Acik Otoparki,Semsipasa Acik Otopark,Acik Otopark,80,12:00:00 AM,11:59:00 PM,Uskudar,29.00977542,41.02554793
152,Bagcilar Goztepe Zemin Alti,Bagcilar Goztepe Zemin Alt,Kapali Otopark,120,12:00:00 AM,11:59:00 PM,Bagcilar,28.83543057,41.05643318
153,Sabanci Ogretmenevi Acik Otoparki,Sabanci Ogretmenevi Acik Otopark,Acik Otopark,350,12:00:00 AM,11:59:00 PM,Beykoz,29.06888695,41.07939958
154,Kucuksu Kasri Acik Otoparki,Kucuksu Kasri Acik Otopark,Acik Otopark,200,7:00:00 AM,11:00:00 PM,Beykoz,29.06556114,41.07855928
155,Azapkapi Halic Metro Otoparki,Azapkapi Halic Metro Otopark,Acik Otopark,130,12:00:00 AM,11:59:00 PM,Sisli,28.96874433,41.02418858
156,Atasehir Umut Sokak Acik Otoparki,Atasehir Umut Sokak Acik Otopark,Acik Otopark,60,8:00:00 AM,6:00:00 PM,Atasehir,29.10136881,40.97204508
