ID,BUSINESS_TYPE_ID,BUSINESS_TYPE_DESC,FUEL_DISTRIBUTION_COMPANY_ID,FUEL_DISTRIBUTION_COMPANY_DESC,County_Name,Neighborhood_Name,LATITUDE,LONGITUDE
218,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Bakirkoy,Senlikkoy,40.98799075,28.79598148
219,2,Akaryakit Lpg,12,Petrol Ofisi,Maltepe,Aydinevler,40.94585412,29.12744229
220,1,Akaryakit,5,BP,Maltepe,Cevizli,40.91730439,29.1436794
221,2,Akaryakit Lpg,5,BP,Bagcilar,Baglar,41.02468823,28.8285146
222,1,Akaryakit,15,Total,Uskudar,Kirazlitepe,41.03650507,29.06536996
223,2,Akaryakit Lpg,10,Opet,Bagcilar,Mahmutbey,41.06971419,28.82515769
224,2,Akaryakit Lpg,12,Petrol Ofisi,Bagcilar,Yavuz Selim,41.04180765,28.84978727
225,1,Akaryakit,12,Petrol Ofisi,Kagithane,Yesilce,41.09362435,29.00441833
226,2,Akaryakit Lpg,15,Total,Sile,Cavus,41.15579592,29.60433743
227,1,Akaryakit,5,BP,Arnavutkoy,Omerli,41.12363691,28.62465206
228,2,Akaryakit Lpg,3,Aytemiz,Bagcilar,15 Temmuz,41.04482464,28.81695939
229,2,Akaryakit Lpg,9,LukOil,Pendik,Kaynarca,40.87312562,29.26541195
230,2,Akaryakit Lpg,3,Aytemiz,Kartal,Cumhuriyet,40.89707377,29.22570029
231,2,Akaryakit Lpg,15,Total,Catalca,Ferhatpasa,41.13283082,28.47029877
232,1,Akaryakit,13,Shell-Turcas Petrol,Kadikoy,Fenerbahce,40.97577486,29.05043269
233,1,Akaryakit,5,BP,Sancaktepe,Fatih,40.96642276,29.2165009
234,2,Akaryakit Lpg,22,KadOil,Kucukcekmece,Sogutlu Cesme,41.01293832,28.79168159
235,2,Akaryakit Lpg,23,Moil,Silivri,Buyuk Cavuslu,41.24434402,28.0673768
236,1,Akaryakit,12,Petrol Ofisi,Catalca,Kestanelik,41.22746255,28.49171624
237,1,Akaryakit,15,Total,Fatih,Karagumruk,41.02860721,28.93680477
238,2,Akaryakit Lpg,5,BP,Kadikoy,Egitim,40.98943776,29.04218668
239,2,Akaryakit Lpg,3,Aytemiz,Tuzla,Sifa,40.8172561,29.36250854
240,2,Akaryakit Lpg,10,Opet,Beykoz,Cubuklu,41.09487573,29.09087267
241,2,Akaryakit Lpg,10,Opet,Tuzla,Fatih,40.91728049,29.35200438
242,2,Akaryakit Lpg,15,Total,Cekmekoy,Alemdag,41.05215547,29.23965046
243,2,Akaryakit Lpg,12,Petrol Ofisi,Esenyurt,Akcaburgaz,41.0795274,28.62598391
244,2,Akaryakit Lpg,5,BP,Fatih,Haseki Sultan,41.00707534,28.93679318
245,1,Akaryakit,12,Petrol Ofisi,Buyukcekmece,Bahcelievler,41.0179062,28.48309223
246,2,Akaryakit Lpg,10,Opet,Silivri,Gumusyaka,41.08393012,28.03649832
247,2,Akaryakit Lpg,5,BP,Uskudar,Barbaros,41.01651772,29.03016851
248,2,Akaryakit Lpg,12,Petrol Ofisi,Gungoren,Mehmet Nesih Ozmen,41.01724195,28.89044913
249,1,Akaryakit,13,Shell-Turcas Petrol,Eyupsultan,Sakarya,41.06626839,28.94297153
250,2,Akaryakit Lpg,12,Petrol Ofisi,Beyoglu,Omer Avni,41.03532153,28.99380776
251,2,Akaryakit Lpg,10,Opet,Maltepe,Baglarbasi,40.9291274,29.14617914
252,2,Akaryakit Lpg,10,Opet,Sancaktepe,Sarigazi,41.00791108,29.20168331
253,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Bayrampasa,Terazidere,41.03408268,28.89697833
254,1,Akaryakit,13,Shell-Turcas Petrol,Kucukcekmece,Tevfikbey,41.00999857,28.7943201
255,2,Akaryakit Lpg,33,Pasifik,Catalca,Kaleici,41.15802798,28.45400215
256,1,Akaryakit,13,Shell-Turcas Petrol,Silivri,Buyuk Cavuslu,41.20384889,28.07676941
257,2,Akaryakit Lpg,10,Opet,Umraniye,Atakent,41.02308828,29.108036
258,1,Akaryakit,5,BP,Bayrampasa,Kartaltepe,41.05569525,28.89676411
259,1,Akaryakit,10,Opet,Buyukcekmece,Cumhuriyet,41.01896944,28.63108952
260,1,Akaryakit,5,BP,Sariyer,Uskumrukoy,41.19144222,29.03680574
261,1,Akaryakit,22,KadOil,Silivri,Selimpasa,41.06504724,28.3209861
262,1,Akaryakit,5,BP,Uskudar,Cengelkoy,41.05192001,29.05209435
263,2,Akaryakit Lpg,15,Total,Kartal,Cumhuriyet,40.91051823,29.21605159
264,1,Akaryakit,15,Total,Sultanbeyli,Aksemsettin,40.95121784,29.29730485
265,2,Akaryakit Lpg,12,Petrol Ofisi,Sile,Cavus,41.15688719,29.6282651
266,2,Akaryakit Lpg,27,Turkiye Petrol,Kucukcekmece,Kartaltepe,41.00021027,28.80072929
267,2,Akaryakit Lpg,12,Petrol Ofisi,Maltepe,Cevizli,40.91644049,29.1466845
268,1,Akaryakit,3,Aytemiz,Sile,Ahmetli,41.144407,29.5762935
269,2,Akaryakit Lpg,2,Alpet,Beylikduzu,Dereagzi,40.98943024,28.61889796
270,2,Akaryakit Lpg,12,Petrol Ofisi,Atasehir,Ferhatpasa,40.98135375,29.16506433
271,1,Akaryakit,13,Shell-Turcas Petrol,Gaziosmanpasa,Kazim Karabekir,41.0837214,28.90890001
272,2,Akaryakit Lpg,31,Uspet,Pendik,Bati,40.87931655,29.22049877
273,1,Akaryakit,5,BP,Kagithane,Ortabayir,41.07888405,29.00292394
274,1,Akaryakit,10,Opet,Sisli,Halil Rifat Pasa,41.05653604,28.96513367
275,1,Akaryakit,13,Shell-Turcas Petrol,Silivri,Mimar Sinan,41.08185536,28.21834158
276,1,Akaryakit,27,Turkiye Petrol,Eyupsultan,Alibeykoy,41.08344499,28.94887753
277,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Fatih,Topkapi,41.01813018,28.92844201
278,2,Akaryakit Lpg,10,Opet,Sultangazi,Cumhuriyet,41.08989876,28.88303667
279,1,Akaryakit,5,BP,Kartal,Soganlik Yeni,40.91082712,29.19910787
280,2,Akaryakit Lpg,15,Total,Gaziosmanpasa,Karayollari,41.08065521,28.90724531
281,1,Akaryakit,13,Shell-Turcas Petrol,Maltepe,Altaycesme,40.92936189,29.12954455
282,1,Akaryakit,12,Petrol Ofisi,Bakirkoy,Atakoy 7-8-9-10. Kisim,40.99171034,28.83805773
283,1,Akaryakit,10,Opet,Tuzla,Fatih,40.9316241,29.33890266
284,2,Akaryakit Lpg,9,LukOil,Buyukcekmece,Pinartepe,41.01634011,28.62590929
285,1,Akaryakit,3,Aytemiz,Sultangazi,Habibler,41.12971549,28.83778866
